CONTENT_LENGTH,URL_LENGTH,CHARACTER_SET,SPECIAL_CHARACTERS,SERVER,URL_IDENTIFICATION,COUNTRY,STATE,REGISTRATION_DATE,UPDATED_DATE,TCP_PACKETS_EXCHANGE,PORTS_DETECTED,REMOTE_IP,BYTES_TRANSFERRED,REMOTE_APP_PACKETS,SOURCE_APP_PACKETS,REMOTE_APP_BYTES,SOURCE_APP_BYTES,IP_PACKETS,DNS_PACKETS,WEBSITE_TYPE
957,21,ISO-8859-1,7,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,A0_71,United Kingdom,NaN,16-Jul-00,04-Jul-15,7,0,1,717,10,11,1011,1960,11,4,1
686,21,iso-8859-1,7,nginx,A0_97,Russia,Novosibirskaya obl.,25-May-13,23-May-16,6,0,2,603,9,8,745,1580,8,2,1
324,21,us-ascii,6,Microsoft-HTTPAPI/2.0,M0_2303,NaN,NaN,09-Aug-99,10-Feb-15,7,7,3,618,9,7,618,562,7,0,0
15025,21,utf-8,6,nginx,M0_584,NaN,NaN,NaN,NaN,13,1,5,1099,17,15,1243,15476,15,2,0
318,22,iso-8859-1,6,nginx,M0_2122,America,Tennessee,02-Nov-03,29-Jun-15,8,6,6,696,10,8,696,636,8,0,0
224,22,iso-8859-1,6,Apache/2.2.22,M0_2176,NaN,NaN,12-Aug-08,13-Jul-16,4,3,2,420,6,4,420,372,4,0,0
324,22,us-ascii,7,Microsoft-HTTPAPI/2.0,A0_69,America,CO,15-Sep-13,25-Feb-17,9,0,4,850,9,11,994,1354,11,2,1
NaN,22,utf-8,6,openresty/1.11.2.1,M0_161,America,CA,03-Jul-99,07-Aug-15,39,29,6,3833,42,43,4125,22495,43,4,0
4421,22,utf-8,7,Apache/2.4.7 (Ubuntu),M0_569,Australia,Vi,21-May-09,15-May-16,12,0,2,2259,12,16,2559,5165,16,4,0
NaN,22,UTF-8,6,nginx/1.12.0,M0_601,America,FL,01-Aug-02,22-Mar-16,6,0,3,650,10,10,950,1417,10,4,0
441,22,ISO-8859-1,6,Apache,M0_884,America,OR,13-Jan-05,02-Mar-17,0,0,0,0,0,0,0,0,0,0,0
NaN,22,ISO-8859-1,6,nginx/1.12.0,M0_905,America,Texas,18-May-05,19-May-16,0,0,0,0,0,0,0,0,0,0,0
6671,22,utf-8,6,nginx,M0_916,Canada,ALBERTA,04-Jan-01,03-Mar-17,0,0,0,0,0,0,0,0,0,0,0
NaN,23,utf-8,6,Apache,M0_102,America,FL,28-Feb-08,14-Feb-17,16,3,11,1696,20,18,1844,13422,18,2,0
434,23,iso-8859-1,6,Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,M0_1130,Panama,PANAMA,08-Dec-06,14-Dec-15,0,0,0,0,0,0,0,0,0,0,0
